clogid,clstid,cprelogid,crelatedlogid,cobjectid,cobjectline,calarmcode,calarminfohash,cneid,cnetype,cobjectidtype,calarmcatalog,calarmkindcalarmlevel,Unnamed: 13, cconfirmtype,ccleartype, coccurutctime,crecvoccurutctime,cclearutctime,crecvclearutctime,cconfirmutctime,clocationinfo,clineport,corialarmcode, cboardtype,cdevicetype,               cmtstatus,cportkeyid,cbussinessname,coccurutctimems,crecvoccurutctimems,cclearutctimems, crecvclearutctimems,cconfirmutctimems
167844843,11827207,167844737,-1,19726732,12,698,0,13172753,63,5,0,1,2,0,0,2022-01-19 10:21:58,2022-01-19 10:22:01,\N,\N,\N,1001-10-鹰潭-OTM3-弋阳A方向:12TN2[02]:L_PORT12,L_PORT12,118,1273,58721306,0,PTP-PO=12,关联业务条数：2,859.0,859.0,0.0,0.0,0.0
169548600,12201186,169548594,-1,19729199,1,524,0,13172745,121,5,0,2,1,0,3,2022-04-21 11:44:01,2022-04-21 11:44:13,2022-04-21 11:46:16,2022-04-21 11:46:16,\N,1002-2-南昌二长楼-OTM4-高安方向:1LN4-λ10-萍乡方向[27]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,785.0,784.0,260.0,218.0,0.0
169548594,12201186,169548584,-1,19729199,1,524,0,13172745,121,5,0,2,1,0,1,2022-04-21 11:41:08,2022-04-21 11:43:16,2022-04-21 11:43:50,2022-04-21 11:44:08,\N,1002-2-南昌二长楼-OTM4-高安方向:1LN4-λ10-萍乡方向[27]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,132.0,90.0,584.0,802.0,0.0
169548584,12201186,0,-1,19729199,1,524,0,13172745,121,5,0,2,1,0,3,2022-04-21 11:40:20,2022-04-21 11:40:33,2022-04-21 11:43:16,2022-04-21 11:43:16,\N,1002-2-南昌二长楼-OTM4-高安方向:1LN4-λ10-萍乡方向[27]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,128.0,127.0,147.0,138.0,0.0
169546629,11483947,169414016,-1,19727285,1,60085,0,13172778,63,5,0,3,1,0,0,2022-04-21 10:35:29,2022-04-21 10:37:09,\N,\N,\N,1002-23-赣州章贡区南门局-OTM3-遂川方向:1TN4[03]:背板口-L_PORT1/OCH-1/ODU4-1,背板口-L_PORT1/OCH-1/ODU4-1,99,1270,58721303,0,PTP-PO=1/OCH=1/ODU4=1,,307.0,238.0,0.0,0.0,0.0
169544935,12197632,0,-1,19728487,1,698,0,13172824,56,5,0,1,2,0,0,2022-04-21 09:52:44,2022-04-21 09:52:58,\N,\N,\N,1006-13-抚州广昌-OTM1-宜黄方向:8TDGS-OTN[05]:Client-1,Client-1,5,770,10486486,0,PTP-PO=1,关联业务条数：2,967.0,967.0,0.0,0.0,0.0
169544546,12197342,169544545,-1,19737539,0,1720,0,13172744,116,3,0,4,0,0,0,2022-04-21 08:19:10,2022-04-21 08:19:16,\N,\N,\N,1002-1-南昌二长楼-OTM3-高安方向:1TL4-λ16-萍乡方向[42]:Global,Global,113,1407,8389742,0,,,139.0,139.0,0.0,0.0,0.0
169544545,12197342,0,-1,19737539,0,1720,0,13172744,116,3,0,4,0,0,3,2022-04-21 08:19:03,2022-04-21 08:19:07,2022-04-21 08:19:09,2022-04-21 08:19:09,\N,1002-1-南昌二长楼-OTM3-高安方向:1TL4-λ16-萍乡方向[42]:Global,Global,113,1407,8389742,0,,,140.0,139.0,779.0,761.0,0.0
169544405,12197287,0,-1,19734600,0,1819,0,13173591,121,3,0,3,3,0,0,2022-04-21 07:43:58,2022-04-21 07:44:54,\N,\N,\N,1077-7-赣州龙南-南环-OTM2:UXU2[86]:单盘,单盘,224,1220,58721287,0,,,953.0,951.0,0.0,0.0,0.0
169544299,12197223,0,-1,19729102,1,1339,0,13172908,76,5,0,2,1,0,0,2022-04-21 06:39:02,2022-04-21 06:39:13,\N,\N,\N,1013-9-九江星子华林-OADM2:OTU2S_λ40-星子方向[05]:Client-1,Client-1,94,776,10486533,0,PTP-PO=1,关联业务条数：2,988.0,985.0,0.0,0.0,0.0
169544298,12197222,0,-1,19729102,1,1032,0,13172908,76,5,0,2,3,0,0,2022-04-21 06:39:02,2022-04-21 06:39:13,\N,\N,\N,1013-9-九江星子华林-OADM2:OTU2S_λ40-星子方向[05]:Client-1,Client-1,93,776,10486533,0,PTP-PO=1,关联业务条数：2,987.0,985.0,0.0,0.0,0.0
169544297,12197221,0,-1,19729102,1,698,0,13172908,76,5,0,1,2,0,0,2022-04-21 06:39:02,2022-04-21 06:39:13,\N,\N,\N,1013-9-九江星子华林-OADM2:OTU2S_λ40-星子方向[05]:Client-1,Client-1,99,776,10486533,0,PTP-PO=1,关联业务条数：2,986.0,985.0,0.0,0.0,0.0
169544203,12197160,169544183,-1,19736325,7,2115,0,13173645,121,5,0,2,1,0,0,2022-04-21 05:47:09,2022-04-21 05:48:42,\N,\N,\N,1081-7-宜春铜鼓-北环-OTM2:12TN2-355[16]:L_PORT7/ODU2e-1,L_PORT7/ODU2e-1,138,1273,58721306,0,PTP-PO=7/ODU2E=1,关联业务条数：2,607.0,578.0,0.0,0.0,0.0
169544183,12197160,0,-1,19736325,7,2115,0,13173645,121,5,0,2,1,0,3,2022-04-21 05:32:32,2022-04-21 05:36:41,2022-04-21 05:48:42,2022-04-21 05:48:42,\N,1081-7-宜春铜鼓-北环-OTM2:12TN2-355[16]:L_PORT7/ODU2e-1,L_PORT7/ODU2e-1,138,1273,58721306,0,PTP-PO=7/ODU2E=1,关联业务条数：2,76.0,62.0,698.0,663.0,0.0
169541597,12196062,0,-1,19728257,3,906,0,13172813,56,5,0,1,2,0,0,2022-04-20 18:59:32,2022-04-20 18:59:43,\N,\N,\N,1006-2-抚州青云-OTM2-大公路方向:8TDGS-OTN[05]:Client-3,Client-3,6,770,10486486,0,PTP-PO=3,关联业务条数：2,313.0,312.0,0.0,0.0,0.0
169541061,12147365,169422516,-1,19734549,1,524,0,13173588,121,5,0,2,1,0,0,2022-04-20 18:01:42,2022-04-20 18:02:36,\N,\N,\N,1077-4-赣州章贡区水南-南环-OTM2:1LN4-λ2-寻乌方向[42]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,605.0,593.0,0.0,0.0,0.0
169540534,12195414,0,-1,19734482,1,524,0,13173586,121,5,0,2,1,0,0,2022-04-20 17:12:05,2022-04-20 17:13:07,\N,\N,\N,1077-2-赣州章贡区南门-南环-OTM2:1LN4-λ2-寻乌方向[42]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,827.0,826.0,0.0,0.0,0.0
169540433,12195319,0,-1,19734818,1,524,0,13173597,121,5,0,2,1,0,0,2022-04-20 17:10:08,2022-04-20 17:11:32,\N,\N,\N,1077-13-赣州安远电信大楼-南环-OTM2:1LN4-λ3-南门方向[44]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,127.0,102.0,0.0,0.0,0.0
169539717,12194734,0,-1,19737438,1,1743,0,13173585,116,5,0,2,0,0,0,2022-04-20 16:30:33,2022-04-20 16:31:00,\N,\N,\N,1077-1-赣州章贡区南门-南环-OTM1:OMSP_于都方向[47]:INOUT/OTS-1/OMS-1,INOUT/OTS-1/OMS-1,4,617,8389138,0,PTP-PO=1/OTS=1/OMS=1,1077-1-赣州章贡区南门-南环-OTM1.S0C.MO/OTS-1/OMS-1<-->1077-16-赣州会昌-南环-OTM1.S08.MO/OTS-1/OMS-1-1534925147\,,,,,
169539405,12194155,169539082,-1,19734933,1,524,0,13173601,121,5,0,2,1,0,0,2022-04-20 16:18:17,2022-04-20 16:20:26,\N,\N,\N,1077-17-赣州会昌-南环-OTM2:1LN4-λ1-水南方向[45]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,916.0,901.0,0.0,0.0,0.0
169539180,12194244,0,-1,19735565,1,1743,0,13173598,116,5,0,2,0,0,0,2022-04-20 16:19:14,2022-04-20 16:19:18,\N,\N,\N,1077-14-赣州寻乌-南环-OTM1:OMSP_安远方向[69]:INOUT/OTS-1/OMS-1,INOUT/OTS-1/OMS-1,4,617,8389138,0,PTP-PO=1/OTS=1/OMS=1,1077-14-赣州寻乌-南环-OTM1.S68.MO/OTS-1/OMS-1<-->1077-12-赣州安远电信大楼-南环-OTM1.S08.MO/OTS-1/OMS-1-1534924446\,,,,,
169539082,12194155,0,-1,19734933,1,524,0,13173601,121,5,0,2,1,0,3,2022-04-20 16:16:11,2022-04-20 16:17:26,2022-04-20 16:20:26,2022-04-20 16:20:26,\N,1077-17-赣州会昌-南环-OTM2:1LN4-λ1-水南方向[45]:L_PORT1/OCH-1,L_PORT1/OCH-1,16,1269,58721302,0,PTP-PO=1/OCH=1,关联业务条数：2,934.0,918.0,938.0,929.0,0.0
169538867,12193966,0,-1,19736451,1,1743,0,13173648,116,5,0,2,0,0,0,2022-04-20 16:09:01,2022-04-20 16:09:02,\N,\N,\N,1081-13-宜春奉新局-北环-OTM1:OMSP_靖安[49]:INOUT/OTS-1/OMS-1,INOUT/OTS-1/OMS-1,4,617,8389138,0,PTP-PO=1/OTS=1/OMS=1,1081-11-宜春靖安-北环-OTM1.S08.MO/OTS-1/OMS-1<-->1081-13-宜春奉新局-北环-OTM1.S48.MO/OTS-1/OMS-1-1534925049\,,,,,
169538851,12193950,0,-1,19736361,1,1743,0,13173646,116,5,0,2,0,0,0,2022-04-20 16:09:01,2022-04-20 16:09:02,\N,\N,\N,1081-11-宜春靖安-北环-OTM1:OMSP_奉新[09]:INOUT/OTS-1/OMS-1,INOUT/OTS-1/OMS-1,4,617,8389138,0,PTP-PO=1/OTS=1/OMS=1,1081-11-宜春靖安-北环-OTM1.S08.MO/OTS-1/OMS-1<-->1081-13-宜春奉新局-北环-OTM1.S48.MO/OTS-1/OMS-1-1534925049\,,,,,
169537184,12193031,0,-1,19731360,0,183,0,13172829,76,3,0,3,3,0,0,2022-04-20 10:17:49,2022-04-20 10:27:08,\N,\N,\N,1007-2-吉安河东老邮电所-OADM1:EMUP_F1K[00],,213,2039,892,0,,,42.0,42.0,0.0,0.0,0.0
169535689,12192009,169535688,-1,19737631,0,1720,0,13173627,116,3,0,4,0,0,0,2022-04-20 06:57:51,2022-04-20 06:58:33,\N,\N,\N,1080-3-宜春322局-南环-OTM1:1TL4-λ5-丰城方向[61]:Global,Global,113,1407,8389742,0,,,670.0,670.0,0.0,0.0,0.0
